Dates,HSBA LN Equity,BARC LN Equity,JPM UN Equity,BAC UN Equity
2020-08-17,3.387,1.079,76.09708,19.76647
2020-08-18,3.324,1.081,74.28787,19.28976
2020-08-19,3.356,1.102,74.85758,19.36954
2020-08-20,3.29,1.076,73.83227,19.03245
2020-08-21,3.282,1.08,74.41505,19.10078
2020-08-24,3.38,1.104,76.56286,19.6572
2020-08-25,3.348,1.091,76.5831,19.81254
2020-08-26,3.316,1.104,74.98865,19.34312
2020-08-27,3.281,1.105,77.63787,19.7603
2020-08-28,3.302,1.12,77.11413,19.73437
2020-08-31,3.302,1.12,74.89161,19.24054
2020-09-01,3.17,1.059,74.77599,19.19803
2020-09-02,3.205,1.035,76.26801,19.52281
2020-09-03,3.173,1.056,76.40627,19.34851
2020-09-04,3.198,1.069,78.1578,20.03775
2020-09-07,3.231,1.069,78.1578,20.03775
2020-09-08,3.213,1.043,76.5964,19.53239
2020-09-09,3.277,1.049,77.51479,19.60347
2020-09-10,3.246,1.05,77.80982,19.5947
2020-09-11,3.229,1.026,79.02885,19.93901
2020-09-14,3.221,1.036,79.63164,20.01088
2020-09-15,3.228,1.026,77.00302,19.60754
2020-09-16,3.17,1.03,76.8164,19.72417
2020-09-17,3.108,1.005,76.1787,19.59345
2020-09-18,3.04,0.974,75.94008,19.46568
2020-09-21,2.88,0.922,74.51916,19.13213
2020-09-22,2.871,0.92,74.10581,18.81928
2020-09-23,2.903,0.929,72.69734,18.23313
2020-09-24,2.867,0.929,72.66311,18.30301
2020-09-25,2.834,0.916,73.58104,18.49169
2020-09-28,3.086,0.98,74.82104,18.74416
2020-09-29,2.985,0.973,74.17924,18.4923
2020-09-30,3.015,0.976,74.56432,18.65851
2020-10-01,3.046,0.98,75.20552,18.69086
2020-10-02,3.082,0.977,75.7018,18.72245
2020-10-05,3.094,0.995,76.30788,18.9691
2020-10-06,3.143,1.042,75.66191,18.81127
2020-10-07,3.154,1.045,77.19638,19.25846
2020-10-08,3.141,1.071,78.66141,19.50692
2020-10-09,3.094,1.073,77.72657,19.47773
2020-10-12,3.082,1.058,78.41996,19.65858
2020-10-13,3.052,1.021,77.77435,19.25451
2020-10-14,2.966,1.015,76.99754,18.1469
2020-10-15,2.993,1.001,78.71846,18.68906
2020-10-16,3.064,1.018,78.54379,18.7558
2020-10-19,3.093,1.034,76.87567,18.27145
2020-10-20,3.086,1.043,77.56569,18.65533
2020-10-21,3.024,1.027,75.52634,18.27924
2020-10-22,3.069,1.043,78.55834,18.99053
2020-10-23,3.214,1.115,79.65777,19.10681
2020-10-26,3.194,1.105,77.73938,18.84358
2020-10-27,3.301,1.066,76.02755,18.25488
